country,year,GDP_Current
Argentina,2023,191404996704200.0
Argentina,2022,82652824186400.0
Argentina,2021,46219083510300.0
Argentina,2020,27209814143300.0
Argentina,2019,21558444149200.0
Argentina,2018,14744810677300.0
Argentina,2017,10660228494800.0
Argentina,2016,8228159556500.0
Argentina,2015,5954510895700.0
Argentina,2014,4579086425400.0
Argentina,2013,3348308488200.0
Argentina,2012,2637913848200.0
Argentina,2011,2179024103600.0
Argentina,2010,1661720925900.0
Argentina,2009,1247929268900.0
Argentina,2008,1149646090600.0
Argentina,2007,896980174100.0
Argentina,2006,715904271700.0
Argentina,2005,582538172900.0
Argentina,2004,485115194700.0
Argentina,2003,375909500000.0
Argentina,2002,312580000000.0
Argentina,2001,268696750000.0
Argentina,2000,284203750000.0
Argentina,1999,283523000000.0
Argentina,1998,298948250000.0
Argentina,1997,292859000000.0
Argentina,1996,272149750000.0
Argentina,1995,258031750000.0
Argentina,1994,257440000000.0
Argentina,1993,236504973300.0
Argentina,1992,226638004200.0
Argentina,1991,180898005000.0
Argentina,1990,68921999360.0
Argentina,1989,3244039936.0
Argentina,1988,111062000.0
Argentina,1987,23332300.0
Argentina,1986,9984100.0
Argentina,1985,5305000.0
Argentina,1984,790920.0
Argentina,1983,109490.0
Argentina,1982,21852.5
Argentina,1981,7474.2998047
Argentina,1980,3840.3999023
Argentina,1979,1932.1400146
Argentina,1978,708.61102295
Argentina,1977,283.90499878
Argentina,1976,102.33899689
Argentina,1975,19.402299881
Argentina,1974,6.5193099976
Argentina,1973,4.7289600372
Argentina,1972,2.7786400318
Argentina,1971,1.664659977
Argentina,1970,1.2001999617
Argentina,1969,1.0939699411
Argentina,1968,0.9252899885
Argentina,1967,0.8004699945
Argentina,1966,0.6012399793
Argentina,1965,0.4818600118
Argentina,1964,0.359472096
Argentina,1963,0.2534708977
Argentina,1962,0.2131359279
Argentina,1961,0.1668071896
Argentina,1960,0.1315089166
